Case ID,Country,Crime Type,Reason for Crime,Year,Reported Cases
7,Nigeria,Phishing,Financial Gain,2004,1598
11,Nigeria,Phishing,Financial Gain,2022,3187
22,South Africa,Phishing,Financial Gain,2012,817
27,India,Phishing,Unemployment,2000,451
32,Brazil,Phishing,Challenge,2012,1850
34,Canada,Phishing,Organized Crime,2023,3186
42,China,Phishing,Revenge,2022,1147
43,Germany,Phishing,Espionage,2019,3818
48,Australia,Phishing,Revenge,2013,3195
55,Russia,Phishing,Unemployment,2003,1512
67,Brazil,Phishing,Financial Gain,2004,1961
70,India,Phishing,Financial Gain,2020,2623
77,Nigeria,Phishing,Unemployment,2007,3232
80,Australia,Phishing,Peer Influence,2007,3296
88,China,Phishing,Revenge,2006,1151
98,Brazil,Phishing,Peer Influence,2010,3411
109,Canada,Phishing,Revenge,2006,90
113,Russia,Phishing,Unemployment,2013,3354
119,Australia,Phishing,Financial Gain,2023,4740
122,Nigeria,Phishing,Challenge,2007,1299
141,Brazil,Phishing,Challenge,2021,3371
143,India,Phishing,Organized Crime,2007,641
152,Brazil,Phishing,Peer Influence,2016,665
176,China,Phishing,Peer Influence,2012,4448
187,Nigeria,Phishing,Unemployment,2022,2563
192,United Kingdom,Phishing,Financial Gain,2002,3117
204,China,Phishing,Peer Influence,2017,2340
213,Nigeria,Phishing,Revenge,2006,550
222,Nigeria,Phishing,Financial Gain,2012,4234
249,United States,Phishing,Organized Crime,2004,4201
251,Germany,Phishing,Unemployment,2001,2757
253,Nigeria,Phishing,Organized Crime,2022,3944
261,Germany,Phishing,Unemployment,2010,2666
274,China,Phishing,Political Motive,2022,2668
305,South Africa,Phishing,Unemployment,2022,2585
306,Australia,Phishing,Unemployment,2023,1132
308,India,Phishing,Political Motive,2006,3956
317,South Africa,Phishing,Espionage,2003,3855
318,India,Phishing,Revenge,2004,522
323,Australia,Phishing,Espionage,2017,4271
329,Germany,Phishing,Revenge,2000,4828
333,India,Phishing,Challenge,2012,2526
345,Brazil,Phishing,Organized Crime,2013,3958
373,Russia,Phishing,Challenge,2011,3288
379,India,Phishing,Financial Gain,2022,4763
